"id","name","period","category","confidence","note","evidence_source","page_or_figure_ref","verified_by","verified_date"
"drain","Drainage channel beneath the street","herod","water","secure","A stone-roofed channel high enough to walk in. Josephus says refugees hid in the drains in AD 70, and cooking pots and coins were found inside.","","","",""
"miqvaot","Ritual baths (miqva'ot)","herod","water","secure","Stepped immersion pools cut into bedrock beside the street and in houses — pilgrims purified themselves before going up to the Temple.","","","",""
"adiabene","Mansions attributed to the Adiabene royal house","herod","monument","debated","A large, richly built complex in the Givati excavations. Josephus places the palaces of Queen Helena's family here, but nothing found names them.","","","",""
"theodotus","Theodotus synagogue inscription (find spot)","herod","find","secure","A Greek dedication found by Weill in 1913, recording a synagogue built for reading the Law and lodging pilgrims.","","","",""
"herod-houses","Late Second Temple houses and shops","herod","domestic","secure","Shops opened onto the street; behind them stood houses with stone vessels and plastered floors.","","","",""
"debris70","Destruction debris over the street","d70","destruction","secure","Collapsed masonry, burnt beams and ash lie directly on the paving stones, with coins of the Revolt sealed beneath.","","","",""
"aelia-limit","Southern limit of Aelia Capitolina","d70","fort","probable","When Hadrian refounded the city in AD 130, the new grid sat north of here. The old ridge was left outside — quarried, farmed and largely empty for two centuries.","","","",""
"quarry70","Quarrying and robbing of the ruins","d70","destruction","probable","Roman-period pits cut into the ruins to salvage building stone.","","","",""
"siloam-church","Siloam Church (attributed to Eudocia)","byz","monument","probable","A basilica built over the pool, known from pilgrim accounts and from remains found by Bliss and Dickie in the 1890s. Its attribution to the empress Eudocia rests on written sources.","","","",""
"byz-pilgrim","Pilgrimage complex at the pool","byz","monument","probable","Courtyards, steps, water channels and lodgings served pilgrims who came to wash in the pool.","","","",""
"byz-wall","Byzantine city wall around the ridge","byz","fort","probable","A southern wall commonly associated with fifth-century expansion enclosed much of the ridge again; its precise date, builder and full course remain debated, and the attribution to Eudocia rests on written sources rather than an inscription — traced by Bliss and Dickie and confirmed since.","","","",""
"byz-houses","Byzantine houses and streets","byz","domestic","secure","The ridge filled up again — the densest occupation between the Iron Age and the modern village.","","","",""
"umayyad","Umayyad-period buildings","islam","domestic","secure","Well-built stone buildings with plastered floors, some very large, excavated in the Givati Parking Lot and on the eastern slope.","","","",""
"quake749","Earthquake-collapse horizon (commonly dated AD 749)","islam","destruction","probable","Walls found lying flat in one direction, with vessels crushed on the floors beneath — commonly associated with the mid-eighth-century earthquake, often dated to 18 January AD 749.","","","",""
"abbasid-gap","Contraction and abandonment","islam","extent","probable","After 749 the ridge was never rebuilt at the same scale; by the 10th century it was mostly fields outside the walled city.","","","",""
"terraces","Agricultural terracing","medott","agri","secure","Stone-walled terraces turned the ruined slopes into orchards and vegetable plots. Many of the """"steps"""" visible today are terrace walls, not ancient buildings.","","","",""
"silwan-old","Village of Silwan (original core, east of the Kidron)","medott","modern","secure","The village grew on the eastern side of the valley, using Iron Age rock-cut tombs as houses and stables.","","","",""
"silwan-spread","Village spreading onto the ridge","medott","modern","secure","From the late Ottoman period houses climbed across the Kidron and onto the ridge itself, directly over the ancient city.","","","",""
"ott-cemetery","Cemeteries and field walls","medott","agri","probable","The southern tip stayed open ground — gardens, threshing floors and burial plots.","","","",""
"area-g","Area G — Kenyon (1961–67) and Shiloh (1978–85)","modern","excav","secure","The deep cut through the eastern slope that exposed the Stepped Stone Structure, the Iron Age houses and the 586 BC destruction.","","","",""
"givati","Givati Parking Lot excavation (2007– )","modern","excav","secure","The largest open excavation on the ridge: layers from the Iron Age to the Abbasid period, including the proposed Akra and the Adiabene mansion.","","","",""
"reich-shukron","Reich & Shukron — spring and pool (1995–2010)","modern","excav","secure","Re-excavation around the Gihon revealed the Middle Bronze water fortress and, in 2004, the Herodian Pool of Siloam.","","","",""
"weill","Weill excavation (1913–14, 1923–24)","modern","excav","secure","Where the Theodotus inscription and the rock-cut chambers sometimes called the tombs of the kings of Judah were found.","","","",""
"macalister","Macalister & Duncan (1923–25)","modern","excav","secure","They exposed the top of the Stepped Stone Structure and misdated it to the Jebusite and Maccabean periods.","","","",""
"parker","Parker Mission tunnels (1909–11)","modern","excav","secure","A treasure hunt for the Ark that cleared the ancient water tunnels — badly recorded, but it produced the first plans of the system.","","","",""
"warren-tun","Warren's tunnels (1867)","modern","excav","secure","Charles Warren mined horizontally into the slope, finding the shaft that carries his name.","","","",""
"bliss","Bliss & Dickie (1894–97)","modern","excav","secure","They tunnelled along the southern city wall, tracing the Byzantine circuit and the church at the pool.","","","",""
"road-tunnel","Monumental stepped street tunnel excavation (2013– )","modern","excav","secure","The street is being dug out beneath the village by tunnelling rather than from the surface — the most contested method used on the site.","","","",""
"park","Archaeological park boundary","modern","modern","secure","The visitor site run today over and beneath a living neighbourhood.","","","",""
"village-now","Wadi Hilweh / Silwan today","modern","modern","secure","Several thousand people live directly above the excavations. Residents and some archaeologists contest the digging, the tunnelling beneath houses, and who controls the site.","","","",""
